"Hugo Symbol","Entrez Gene ID","OncoKB Annotated","Is Oncogene","Is Tumor Suppressor Gene"
"ARID4B",51742,"Yes","No","Yes"
"ARID5A",10865,"Yes","No","No"
"ARNT",405,"No","No","No"
"ATIC",471,"No","No","No"
"ATP6AP1",537,"Yes","No","No"
"ATP6V1B2",526,"Yes","No","Yes"
"ATXN2",6311,"Yes","No","Yes"
"ATXN7",6314,"Yes","Yes","No"
"BACH2",60468,"Yes","No","Yes"
"BCL11A",53335,"No","No","No"
"BCL2L2",599,"No","No","No"
"BCL3",602,"No","No","No"
"BCL7A",605,"No","No","No"
"BTG2",7832,"No","No","No"
"CAMTA1",23261,"No","No","No"
"CARS1",833,"No","No","No"
"CBFA2T3",863,"No","No","No"
"CD22",933,"No","No","No"
"CD28",940,"Yes","Yes","No"
"CD70",970,"No","No","No"
"CD74",972,"No","No","No"
"CDX2",1045,"No","No","No"
"CEP43",11116,"No","No","No"
"CLTC",1213,"No","No","No"
"CLTCL1",8218,"No","No","No"
"CMTR2",55783,"Yes","No","Yes"
"CNTRL",11064,"No","No","No"
"COL1A1",1277,"No","No","No"
"CRBN",51185,"Yes","No","Yes"
"CREB1",1385,"Yes","Yes","No"
"CREB3L1",90993,"No","No","No"
"CREB3L2",64764,"No","No","No"
"CTNNA1",1495,"No","No","No"
"CTR9",9646,"Yes","No","Yes"
"CYP19A1",1588,"Yes","Yes","No"
"DDX10",1662,"No","No","No"
"DDX6",1656,"No","No","No"
"DNM2",1785,"No","No","No"
"EBF1",1879,"No","No","No"
"ECT2L",345930,"Yes","No","Yes"
"EGR1",1958,"Yes","No","Yes"
"ELF4",2000,"No","No","No"
"ELL",8178,"No","No","No"
"EML4",27436,"No","No","No"
"EMSY",56946,"No","No","No"
"EP400",57634,"Yes","No","Yes"
"EPOR",2057,"Yes","Yes","No"
"EPS15",2060,"No","No","No"
"ESCO2",157570,"Yes","No","Yes"
"ETAA1",54465,"Yes","No","Yes"
"EZHIP",340602,"Yes","Yes","No"
"EZR",7430,"No","No","No"
"FANCE",2178,"No","No","No"
"FANCF",2188,"No","No","No"
"FCGR2B",2213,"No","No","No"
"FCRL4",83417,"No","No","No"
"FGF10",2255,"No","No","No"
"FGF14",2259,"No","No","No"
"FGF23",8074,"No","No","No"
"FGF6",2251,"No","No","No"
"FHIT",2272,"No","No","No"
"FOXF1",2294,"Yes","Yes","Yes"
"FOXO3",2309,"No","No","No"
"FOXO4",4303,"No","No","No"
"FSTL3",10272,"No","No","No"
"FURIN",5045,"Yes","Yes","No"
"FUS",2521,"No","No","No"
"GAB1",2549,"Yes","Yes","No"
"GAB2",9846,"Yes","Yes","No"
"GAS7",8522,"No","No","No"
"GID4",79018,"No","No","No"
"GPHN",10243,"No","No","No"
"GTF2I",2969,"Yes","Yes","No"
"H1-5",3009,"Yes","No","Yes"
"H2BC8",8339,"Yes","No","No"
"H4C9",8294,"No","No","No"
"HERPUD1",9709,"No","No","No"
"HEY1",23462,"No","No","No"
"HIP1",3092,"No","No","No"
"HLA-C",3107,"Yes","No","Yes"
"HLF",3131,"No","No","No"
"HMGA1",3159,"No","No","No"
"HMGA2",8091,"No","No","No"
"HOXA11",3207,"No","No","No"
"HOXA13",3209,"No","No","No"
"HOXA9",3205,"No","No","No"
"HOXC11",3227,"No","No","No"
"HOXC13",3229,"No","No","No"
"HOXD11",3237,"No","No","No"
"HOXD13",3239,"No","No","No"
"HSP90AA1",3320,"No","No","No"
"HSP90AB1",3326,"No","No","No"
"IGH",3492,"No","No","No"
"IGK",50802,"No","No","No"
"IGL",3535,"No","No","No"
"IL21R",50615,"No","No","No"
"IL3",3562,"Yes","Yes","No"
"ITK",3702,"No","No","No"
"KBTBD4",55709,"Yes","No","No"
"KDSR",2531,"No","No","No"
"KIF5B",3799,"No","No","No"
"KLF5",688,"Yes","Yes","No"
"KLHL6",89857,"No","No","No"
"KSR2",283455,"Yes","Yes","No"
"LASP1",3927,"No","No","No"
"LEF1",51176,"No","No","No"
"LPP",4026,"No","No","No"
"LRP1B",53353,"No","No","No"
"LTB",4050,"Yes","Yes","Yes"
"LYL1",4066,"No","No","No"
"MAD2L2",10459,"Yes","Yes","Yes"
"MGAM",8972,"Yes","Yes","No"
"MLF1",4291,"No","No","No"
"MLLT3",4300,"No","No","No"
"MLLT6",4302,"No","No","No"
"MN1",4330,"No","No","No"
"MOB3B",79817,"Yes","No","Yes"
"MPEG1",219972,"Yes","No","No"
"MRTFA",57591,"No","No","No"
"MSN",4478,"No","No","No"
"MUC1",4582,"No","No","No"
"MYH11",4629,"No","No","No"
"MYH9",4627,"No","No","No"
"NADK",65220,"Yes","Yes","No"
"NCOA2",10499,"No","No","No"
"NDRG1",10397,"No","No","No"
"NFE2",4778,"Yes","Yes","No"
"NFKB2",4791,"No","No","No"
"NIN",51199,"No","No","No"
"NRG1",3084,"Yes","Yes","No"
"NUMA1",4926,"No","No","No"
"NUP214",8021,"No","No","No"
"NUTM2A",728118,"No","No","No"
"PAFAH1B2",5049,"No","No","No"
"PAX3",5077,"No","No","No"
"PAX7",5081,"No","No","No"
"PAX8",7849,"Yes","Yes","No"
"PBX1",5087,"No","No","No"
"PCM1",5108,"No","No","No"
"PDE4DIP",9659,"No","No","No"
"PDK1",5163,"No","No","No"
"PDS5B",23047,"Yes","No","Yes"
"PER1",5187,"No","No","No"
"PGBD5",79605,"Yes","Yes","No"
"PICALM",8301,"No","No","No"
"PIGA",5277,"Yes","No","Yes"
"PLAG1",5324,"No","No","No"
"PML",5371,"No","No","No"
"POU2AF1",5450,"No","No","No"
"PPP2R2A",5520,"Yes","No","Yes"
"PRDM16",63976,"No","No","No"
"PRKACA",5566,"Yes","Yes","No"
"PRRX1",5396,"No","No","No"
"PSIP1",11168,"No","No","No"
"PTPN1",5770,"Yes","Yes","Yes"
"PTPRO",5800,"No","No","No"
"QKI",9444,"No","No","No"
"RABEP1",9135,"No","No","No"
"RAP1GDS1",5910,"No","No","No"
"RELN",5649,"Yes","No","No"
"REST",5978,"Yes","No","Yes"
"RHOH",399,"No","No","No"
"RNF213",57674,"No","No","No"
"ROBO1",6091,"Yes","No","Yes"
"RPL22",6146,"No","No","No"
"RPN1",6184,"No","No","No"
"RSPO2",340419,"No","No","No"
"SAMHD1",25939,"Yes","No","Yes"
"SCG5",6447,"Yes","Yes","No"
"SDC4",6385,"No","No","No"
"SERPINB3",6317,"Yes","Yes","Yes"
"SERPINB4",6318,"Yes","No","No"
"SET",6418,"No","No","No"
"SETD1A",9739,"Yes","Yes","No"
"SETD1B",23067,"Yes","No","No"
"SETD3",84193,"Yes","No","No"
"SETD4",54093,"Yes","No","No"
"SETD5",55209,"Yes","No","No"
"SETD6",79918,"Yes","No","No"
"SETD7",80854,"Yes","No","No"
"SETDB2",83852,"Yes","No","Yes"
"SH3GL1",6455,"No","No","No"
"SLC34A2",10568,"No","No","No"
"SLFN11",91607,"Yes","No","Yes"
"SMARCA2",6595,"Yes","No","Yes"
"SMG1",23049,"Yes","No","Yes"
"SOCS3",9021,"Yes","No","Yes"
"SP140",11262,"Yes","No","Yes"
"SPRTN",83932,"Yes","No","Yes"
"SRSF3",6428,"No","No","No"
"SSX1",6756,"No","No","No"
"SSX2",6757,"No","No","No"
"SSX4",6759,"No","No","No"
"STAG1",10274,"Yes","No","Yes"
"TAF15",8148,"No","No","No"
"TAL2",6887,"No","No","No"
"TET3",200424,"Yes","No","Yes"
"TFG",10342,"No","No","No"
"TNFRSF17",608,"No","No","No"
"TPM3",7170,"No","No","No"
"TPM4",7171,"No","No","No"
"TRA",6955,"Yes","Yes","No"
"TRB",6957,"Yes","Yes","No"
"TRD",6964,"Yes","Yes","No"
"TRG",6965,"Yes","Yes","No"
"TRIM24",8805,"No","No","No"
"TRIP11",9321,"No","No","No"
"TRIP13",9319,"Yes","Yes","Yes"
"USP6",9098,"No","No","No"
"VAV1",7409,"Yes","Yes","No"
"VAV2",7410,"Yes","Yes","No"
"WIF1",11197,"Yes","No","Yes"
"ZBTB16",7704,"No","No","No"
"ZMYM2",7750,"No","No","No"
"ZNF217",7764,"No","No","No"
"ZNF384",171017,"No","No","No"
"ZNF521",25925,"No","No","No"
"ZNF703",80139,"No","No","No"
"ZNRF3",84133,"Yes","No","Yes"
"ACKR3",57007,"No","No","No"
"ACSL3",2181,"No","No","No"
"ACSL6",23305,"No","No","No"
"ACTB",60,"No","No","No"
"ACVR2A",92,"No","No","No"
"ADGRA2",25960,"No","No","No"
"AFF3",3899,"No","No","No"
"AJUBA",84962,"Yes","No","Yes"
"APH1A",51107,"No","No","No"
"APOBEC3B",9582,"No","No","No"
"ASMTL",8623,"No","No","No"
"ASPSCR1",79058,"No","No","No"
"ATG5",9474,"No","No","No"
"ATP1A1",476,"No","No","No"
"ATP2B3",492,"No","No","No"
"BAX",581,"No","No","No"
"BCL9L",283149,"No","No","No"
"BRD3",8019,"No","No","No"
"BRSK1",84446,"No","No","No"
"BTLA",151888,"No","No","No"
"BUB1B",701,"No","No","No"
"CACNA1D",776,"No","No","No"
"CAD",790,"No","No","No"
"CANT1",124583,"No","No","No"
"CBLB",868,"No","No","No"
"CBLC",23624,"No","No","No"
"CCDC6",8030,"No","No","No"
"CCN6",8838,"No","No","No"
"CCNB1IP1",57820,"No","No","No"
"CCNB3",85417,"Yes","Yes","No"
"CCT6B",10693,"No","No","No"
"CD36",948,"No","No","No"
"CDH11",1009,"No","No","No"
"CHCHD7",79145,"No","No","No"
"CHD2",1106,"No","No","No"
"CHD4",1108,"No","No","No"
"CHIC2",26511,"No","No","No"
"CHN1",1123,"No","No","No"
"CILK1",22858,"No","No","No"
"CKS1B",1163,"No","No","No"
"CLIP1",6249,"No","No","No"
"CLP1",10978,"No","No","No"
"CNBP",7555,"No","No","No"
"CNOT3",4849,"No","No","No"
"COL2A1",1280,"No","No","No"
"CPS1",1373,"No","No","No"
"CRTC1",23373,"No","No","No"
"CRTC3",64784,"No","No","No"
"CSF1",1435,"No","No","No"
"CUL4A",8451,"No","No","No"
"CYP17A1",1586,"No","No","No"
"DAZAP1",26528,"Yes","No","No"
"DCTN1",1639,"No","No","No"
"DDB2",1643,"No","No","No"
"DDR1",780,"No","No","No"
"DDX4",54514,"Yes","Yes","No"
"DDX41",51428,"Yes","No","Yes"
"DDX5",1655,"No","No","No"
"DKK1",22943,"Yes","No","No"
"DKK2",27123,"Yes","No","No"
"DKK3",27122,"Yes","No","No"
"DKK4",27121,"Yes","No","No"
"DUSP2",1844,"No","No","No"
"DUSP9",1852,"No","No","No"
